,IMDb Score,Netflix Link,IMDb Link,Poster,TMDb Trailer,IMDb id
1,5.8,https://www.netflix.com/watch/81041267,https://www.imdb.com/title/tt4193072,https://m.media-amazon.com/images/M/MV5BZGUyN2ZlMjYtZTk2Yy00MWZiLWIyMDktMzFlMmEzOWVlMGNiXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,https://www.youtube.com/watch?v=eIbcxPy4okQ,tt4193072
2,7.4,https://www.netflix.com/watch/81306155,https://www.imdb.com/title/tt13393728,https://m.media-amazon.com/images/M/MV5BODAzOGZmNjUtMTIyMC00NGU1LTg5MTMtZWY4MDdiZjI0NGEwXkEyXkFqcGdeQXVyNzEyMTA5MTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=md3CmFLGK6Y,tt13393728
4,6.7,https://www.netflix.com/watch/81382068,https://www.imdb.com/title/tt0041155,https://m.media-amazon.com/images/M/MV5BMjVmMzA5OWYtNTFlMy00ZDBlLTg4NDUtM2NjYjFhMGYwZjBkXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=H0itWKFwMpQ,tt0041155
5,6.6,https://www.netflix.com/watch/81382187,https://www.imdb.com/title/tt0090115,https://m.media-amazon.com/images/M/MV5BZDY2NGFkMjUtOGQxOS00M2E0LWE1MmYtNDYzOGNiNWI0NmJkXkEyXkFqcGdeQXVyMTQzMjU1NjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=tjWouBLwe3c,tt0090115
6,6.2,https://www.netflix.com/watch/81382078,https://www.imdb.com/title/tt0435670,https://m.media-amazon.com/images/M/MV5BNjQ3MjAwNTc1NV5BMl5BanBnXkFtZTcwMzQ3MjczMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=yDB3Ha3vxyc,tt0435670
7,7.6,https://www.netflix.com/watch/81382075,https://www.imdb.com/title/tt0083888,https://m.media-amazon.com/images/M/MV5BYTE3ZjFkNDAtZWY0ZC00ODI3LWExYjUtZmFjZTkyMmYyMzFiXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,https://www.youtube.com/watch?v=OMjVF7mO3PY,tt0083888
8,7.7,https://www.netflix.com/watch/81382065,https://www.imdb.com/title/tt1930402,https://m.media-amazon.com/images/M/MV5BNWRmZDRkMzQtOGIzMS00YjMwLWEyMDEtZmE0NzY2Y2FlNmQ1XkEyXkFqcGdeQXVyMjM3NjE2MTg@._V1_SX300.jpg,https://www.youtube.com/watch?v=NoKr3DbGBpo,tt1930402
9,8.4,https://www.netflix.com/watch/81382215,https://www.imdb.com/title/tt7286456,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=t433PEQGErc,tt7286456
10,6.5,https://www.netflix.com/watch/81382114,https://www.imdb.com/title/tt0120915,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=bD7bpG-zDJQ,tt0120915
11,8.1,https://www.netflix.com/watch/81382102,https://www.imdb.com/title/tt1201607,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=5NYt1qirBWg,tt1201607
