,budget,genres,id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average
0,237000000,"['action', 'adventure', 'fantasy', 'science_fiction']",19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"['ingenious_film_partners', 'twentieth_century_fox_film_corporation', 'dune_entertainment', 'lightstorm_entertainment']","['us', 'gb']",2009-12-10,2787965087,162.0,"['en', 'es']",Avatar,7.2
1,300000000,"['adventure', 'fantasy', 'action']",285,en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,"['walt_disney_pictures', 'jerry_bruckheimer_films', 'second_mate_productions']",['us'],2007-05-19,961000000,169.0,['en'],Pirates of the Caribbean: At World's End,6.9
2,245000000,"['action', 'adventure', 'crime']",206647,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,"['columbia_pictures', 'danjaq', 'b24']","['gb', 'us']",2015-10-26,880674609,148.0,"['fr', 'en', 'es', 'it', 'de']",Spectre,6.3
3,250000000,"['action', 'crime', 'drama', 'thriller']",49026,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,"['legendary_pictures', 'warner_bros.', 'dc_entertainment', 'syncopy']",['us'],2012-07-16,1084939099,165.0,['en'],The Dark Knight Rises,7.6
4,260000000,"['action', 'adventure', 'science_fiction']",49529,en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,['walt_disney_pictures'],['us'],2012-03-07,284139100,132.0,['en'],John Carter,6.1
5,258000000,"['fantasy', 'action', 'adventure']",559,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,"['columbia_pictures', 'laura_ziskin_productions', 'marvel_enterprises']",['us'],2007-05-01,890871626,139.0,"['en', 'fr']",Spider-Man 3,5.9
6,260000000,"['animation', 'family']",38757,en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,"['walt_disney_pictures', 'walt_disney_animation_studios']",['us'],2010-11-24,591794936,100.0,['en'],Tangled,7.4
7,280000000,"['action', 'adventure', 'science_fiction']",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,"['marvel_studios', 'prime_focus', 'revolution_sun_studios']",['us'],2015-04-22,1405403694,141.0,['en'],Avengers: Age of Ultron,7.3
8,250000000,"['adventure', 'fantasy', 'family']",767,en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,"['warner_bros.', 'heyday_films']","['gb', 'us']",2009-07-07,933959197,153.0,['en'],Harry Potter and the Half-Blood Prince,7.4
9,250000000,"['action', 'adventure', 'fantasy']",209112,en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,"['dc_comics', 'atlas_entertainment', 'warner_bros.', 'dc_entertainment', 'cruel_&_unusual_films', 'ratpac-dune_entertainment']",['us'],2016-03-23,873260194,151.0,['en'],Batman v Superman: Dawn of Justice,5.7
10,270000000,"['adventure', 'fantasy', 'action', 'science_fiction']",1452,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,"['dc_comics', 'legendary_pictures', 'warner_bros.', 'bad_hat_harry_productions']",['us'],2006-06-28,391081192,154.0,"['en', 'fr', 'de']",Superman Returns,5.4
11,200000000,"['adventure', 'action', 'thriller', 'crime']",10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,['eon_productions'],"['gb', 'us']",2008-10-30,586090727,106.0,"['en', 'es', 'it', 'fr', 'de']",Quantum of Solace,6.1
12,200000000,"['adventure', 'fantasy', 'action']",58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,"['walt_disney_pictures', 'jerry_bruckheimer_films', 'second_mate_productions']","['jm', 'us', 'bs', 'dm']",2006-06-20,1065659812,151.0,"['en', 'tr', 'el', 'zh']",Pirates of the Caribbean: Dead Man's Chest,7.0
13,255000000,"['action', 'adventure', 'western']",57201,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,"['walt_disney_pictures', 'jerry_bruckheimer_films', 'infinitum_nihil', 'silver_bullet_productions_(ii)', 'blind_wink_productions', 'classic_media']",['us'],2013-07-03,89289910,149.0,['en'],The Lone Ranger,5.9
14,225000000,"['action', 'adventure', 'fantasy', 'science_fiction']",49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,"['legendary_pictures', 'warner_bros.', 'dc_entertainment', 'syncopy', 'cruel_and_unusual_films']","['gb', 'us']",2013-06-12,662845518,143.0,['en'],Man of Steel,6.5
15,225000000,"['adventure', 'family', 'fantasy']",2454,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,"['walt_disney', 'walden_media', 'stillking_films', 'ozumi_films', 'propeler', 'silverbell_films', 'revolution_sun_studios']","['cz', 'pl', 'si', 'us']",2008-05-15,419651413,150.0,['en'],The Chronicles of Narnia: Prince Caspian,6.3
16,220000000,"['science_fiction', 'action', 'adventure']",24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,"['paramount_pictures', 'marvel_studios']",['us'],2012-04-25,1519557910,143.0,['en'],The Avengers,7.4
17,380000000,"['adventure', 'action', 'fantasy']",1865,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,"['walt_disney_pictures', 'jerry_bruckheimer_films', 'moving_picture_company_(mpc)']",['us'],2011-05-14,1045713802,136.0,"['en', 'es']",Pirates of the Caribbean: On Stranger Tides,6.4
18,225000000,"['action', 'comedy', 'science_fiction']",41154,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,"['amblin_entertainment', 'media_magik_entertainment', 'imagenation_abu_dhabi_fz', 'hemisphere_media_capital', 'parkes/macdonald_productions']",['us'],2012-05-23,624026776,106.0,['en'],Men in Black 3,6.2
19,250000000,"['action', 'adventure', 'fantasy']",122917,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,"['wingnut_films', 'new_line_cinema', 'warner_bros._pictures', '3foot7', 'metro-goldwyn-mayer_(mgm)']","['nz', 'us']",2014-12-10,956019788,144.0,['en'],The Hobbit: The Battle of the Five Armies,7.1
20,215000000,"['action', 'adventure', 'fantasy']",1930,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,"['columbia_pictures', 'laura_ziskin_productions', 'marvel_entertainment']",['us'],2012-06-27,752215857,136.0,['en'],The Amazing Spider-Man,6.5
21,200000000,"['action', 'adventure']",20662,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,"['imagine_entertainment', 'universal_pictures', 'scott_free_productions', 'relativity_media']","['gb', 'us']",2010-05-12,310669540,140.0,"['en', 'th']",Robin Hood,6.2
22,250000000,"['adventure', 'fantasy']",57158,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,"['wingnut_films', 'new_line_cinema', 'warner_bros._pictures', 'metro-goldwyn-mayer_(mgm)']","['nz', 'us']",2013-12-11,958400000,161.0,['en'],The Hobbit: The Desolation of Smaug,7.6
23,180000000,"['adventure', 'fantasy']",2268,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,"['new_line_cinema', 'ingenious_film_partners', 'depth_of_field', 'scholastic_productions']","['gb', 'us']",2007-12-04,372234864,113.0,"['is', 'en', 'ru', 'fr']",The Golden Compass,5.8
24,207000000,"['adventure', 'drama', 'action']",254,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,"['wingnut_films', 'universal_pictures', 'big_primate_pictures', 'mfpv_film']","['nz', 'us', 'de']",2005-12-14,550000000,187.0,['en'],King Kong,6.6
25,200000000,"['drama', 'romance', 'thriller']",597,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,"['paramount_pictures', 'twentieth_century_fox_film_corporation', 'lightstorm_entertainment']",['us'],1997-11-18,1845034188,194.0,"['en', 'fr', 'de', 'sv', 'it', 'ru']",Titanic,7.5
26,250000000,"['adventure', 'action', 'science_fiction']",271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,"['studio_babelsberg', 'marvel_studios', 'walt_disney_studios_motion_pictures', 'vita-ray_dutch_productions_(iii)', 'deluxe_digital_studios']",['us'],2016-04-27,1153304495,147.0,"['ro', 'en', 'de', 'ru']",Captain America: Civil War,7.1
27,209000000,"['thriller', 'action', 'adventure', 'science_fiction']",44833,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,"['universal_pictures', 'hasbro', 'bluegrass_films', 'film_44']",['us'],2012-04-11,303025485,131.0,"['en', 'th']",Battleship,5.5
28,150000000,"['action', 'adventure', 'science_fiction', 'thriller']",135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"['universal_studios', 'amblin_entertainment', 'legendary_pictures', 'fuji_television_network', 'dentsu']",['us'],2015-06-09,1513528810,124.0,['en'],Jurassic World,6.5
29,200000000,"['action', 'adventure', 'thriller']",37724,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,['columbia_pictures'],"['gb', 'us']",2012-10-25,1108561013,143.0,['en'],Skyfall,6.9
30,200000000,"['action', 'adventure', 'fantasy']",558,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,"['columbia_pictures', 'laura_ziskin_productions', 'marvel_enterprises']",['us'],2004-06-25,783766341,127.0,"['en', 'ru', 'zh']",Spider-Man 2,6.7
31,200000000,"['action', 'adventure', 'science_fiction']",68721,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,['marvel_studios'],"['cn', 'us']",2013-04-18,1215439994,130.0,['en'],Iron Man 3,6.8
32,200000000,"['family', 'fantasy', 'adventure']",12155,en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,"['walt_disney_pictures', 'team_todd', 'tim_burton_productions', 'roth_films', 'zanuck_company,_the']",['us'],2010-03-03,1025491110,108.0,['en'],Alice in Wonderland,6.4
33,210000000,"['adventure', 'action', 'science_fiction', 'thriller']",36668,en,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,"['ingenious_film_partners', 'twentieth_century_fox_film_corporation', ""donners'_company"", 'dune_entertainment', 'major_studio_partners', 'bad_hat_harry_productions', 'thinkfilm', 'marvel_enterprises', 'x3_canada_productions', 'x3us_productions', 'xm3_service']","['ca', 'gb', 'us']",2006-05-24,459359555,104.0,['en'],X-Men: The Last Stand,6.3
34,200000000,"['animation', 'family']",62211,en,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,"['walt_disney_pictures', 'pixar_animation_studios']",['us'],2013-06-20,743559607,104.0,['en'],Monsters University,7.0
35,150000000,"['science_fiction', 'action', 'adventure']",8373,en,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663,"['paramount_pictures', 'dreamworks_skg', 'amblin_entertainment', 'di_bonaventura_pictures', 'platinum_dunes', 'hasbro_studios', 'revolution_sun_studios']",['us'],2009-06-19,836297228,150.0,"['en', 'es']",Transformers: Revenge of the Fallen,6.0
36,210000000,"['science_fiction', 'action', 'adventure']",91314,en,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296,"['paramount_pictures', 'amblin_entertainment', 'di_bonaventura_pictures', 'platinum_dunes', 'china_movie_channel', 'hasbro_studios', 'ian_bryce_productions', 'revolution_sun_studios']",['us'],2014-06-25,1091405097,165.0,['en'],Transformers: Age of Extinction,5.8
